text,phonemes,soundex,Soundexanzahl,Phonemanzahl,AnzahlSätze,Wortanzahl,Wortlängen,VarWortlängen
Can you can a can as a canner can can a can?,"[['K', 'AE1', 'N'], ['Y', 'UW1'], ['K', 'AE1', 'N'], ['AH0'], ['K', 'AE1', 'N'], ['AE1', 'Z'], ['AH0'], ['K', 'AE1', 'N', 'ER0'], ['K', 'AE1', 'N'], ['K', 'AE1', 'N'], ['AH0'], ['K', 'AE1', 'N']]","['C500', 'Y000', 'C500', 'A000', 'C500', 'A200', 'A000', 'C560', 'C500', 'C500', 'A000', 'C500']","{'C500': 6, 'Y000': 1, 'A000': 3, 'A200': 1, 'C560': 1}","{'K': 7, 'AE1': 8, 'N': 7, 'Y': 1, 'UW1': 1, 'AH0': 3, 'Z': 1, 'ER0': 1}",1,12,"[3, 3, 3, 1, 3, 2, 1, 6, 3, 3, 1, 4]",1.8541666666666667
Seth at Sainsbury's sells thick socks.,"[['S', 'EH1', 'TH'], ['AE1', 'T'], ['S', 'EY1', 'N', 'S', 'B', 'ER0', 'IY0', 'Z'], ['S', 'EH1', 'L', 'Z'], ['TH', 'IH1', 'K'], ['S', 'AA1', 'K', 'S']]","['S300', 'A300', 'S521', 'S420', 'T200', 'S200']","{'S300': 1, 'A300': 1, 'S521': 1, 'S420': 1, 'T200': 1, 'S200': 1}","{'S': 6, 'EH1': 2, 'TH': 2, 'AE1': 1, 'T': 1, 'EY1': 1, 'N': 1, 'B': 1, 'ER0': 1, 'IY0': 1, 'Z': 2, 'L': 1, 'IH1': 1, 'K': 2, 'AA1': 1}",1,6,"[4, 2, 11, 5, 5, 6]",7.583333333333333
"You cuss, I cuss, we all cuss, for asparagus!","[['Y', 'UW1'], ['K', 'AH1', 'S'], ['AY1'], ['K', 'AH1', 'S'], ['W', 'IY1'], ['AO1', 'L'], ['K', 'AH1', 'S'], ['F', 'AO1', 'R'], ['AH0', 'S', 'P', 'EH1', 'R', 'AH0', 'G', 'AH0', 'S']]","['Y000', 'C200', 'I000', 'C200', 'W000', 'A400', 'C200', 'F600', 'A216']","{'Y000': 1, 'C200': 3, 'I000': 1, 'W000': 1, 'A400': 1, 'F600': 1, 'A216': 1}","{'Y': 1, 'UW1': 1, 'K': 3, 'AH1': 3, 'S': 5, 'AY1': 1, 'W': 1, 'IY1': 1, 'AO1': 2, 'L': 1, 'F': 1, 'R': 2, 'AH0': 3, 'P': 1, 'EH1': 1, 'G': 1}",1,9,"[3, 5, 1, 5, 2, 3, 5, 3, 10]",6.098765432098766
Roberta ran rings around the Roman ruins.,"[['R', 'AH0', 'B', 'ER1', 'T', 'AH0'], ['R', 'AE1', 'N'], ['R', 'IH1', 'NG', 'Z'], ['ER0', 'AW1', 'N', 'D'], ['DH', 'AH0'], ['R', 'OW1', 'M', 'AH0', 'N'], ['R', 'UW1', 'AH0', 'N', 'Z']]","['R163', 'R500', 'R520', 'A653', 'T000', 'R550', 'R520']","{'R163': 1, 'R500': 1, 'R520': 2, 'A653': 1, 'T000': 1, 'R550': 1}","{'R': 5, 'AH0': 5, 'B': 1, 'ER1': 1, 'T': 1, 'AE1': 1, 'N': 4, 'IH1': 1, 'NG': 1, 'Z': 2, 'ER0': 1, 'AW1': 1, 'D': 1, 'DH': 1, 'OW1': 1, 'M': 1, 'UW1': 1}",1,7,"[7, 3, 5, 6, 3, 5, 6]",2.0
Clean clams crammed in clean cans.,"[['K', 'L', 'IY1', 'N'], ['K', 'L', 'AE1', 'M', 'Z'], ['K', 'R', 'AE1', 'M', 'D'], ['IH0', 'N'], ['K', 'L', 'IY1', 'N'], ['K', 'AE1', 'N', 'Z']]","['C450', 'C452', 'C653', 'I500', 'C450', 'C520']","{'C450': 2, 'C452': 1, 'C653': 1, 'I500': 1, 'C520': 1}","{'K': 5, 'L': 3, 'IY1': 2, 'N': 4, 'AE1': 3, 'M': 2, 'Z': 2, 'R': 1, 'D': 1, 'IH0': 1}",1,6,"[5, 5, 7, 2, 5, 5]",2.1388888888888893
Six sick hicks nick six slick bricks with picks and sticks.,"[['S', 'IH1', 'K', 'S'], ['S', 'IH1', 'K'], ['HH', 'IH1', 'K', 'S'], ['N', 'IH1', 'K'], ['S', 'IH1', 'K', 'S'], ['S', 'L', 'IH1', 'K'], ['B', 'R', 'IH1', 'K', 'S'], ['W', 'IH1', 'DH'], ['P', 'IH1', 'K', 'S'], ['AH0', 'N', 'D'], ['S', 'T', 'IH1', 'K', 'S']]","['S200', 'S200', 'H200', 'N200', 'S200', 'S420', 'B620', 'W300', 'P200', 'A530', 'S320']","{'S200': 3, 'H200': 1, 'N200': 1, 'S420': 1, 'B620': 1, 'W300': 1, 'P200': 1, 'A530': 1, 'S320': 1}","{'S': 11, 'IH1': 10, 'K': 9, 'HH': 1, 'N': 2, 'L': 1, 'B': 1, 'R': 1, 'W': 1, 'DH': 1, 'P': 1, 'AH0': 1, 'D': 1, 'T': 1}",1,11,"[3, 4, 5, 4, 3, 5, 6, 4, 5, 3, 7]",1.5206611570247934
"I wish to wish the wish you wish to wish, but if you wish the wish the witch wishes, I won't wish the wish you wish to wish.","[['AY1'], ['W', 'IH1', 'SH'], ['T', 'UW1'], ['W', 'IH1', 'SH'], ['DH', 'AH0'], ['W', 'IH1', 'SH'], ['Y', 'UW1'], ['W', 'IH1', 'SH'], ['T', 'UW1'], ['W', 'IH1', 'SH'], ['B', 'AH1', 'T'], ['IH1', 'F'], ['Y', 'UW1'], ['W', 'IH1', 'SH'], ['DH', 'AH0'], ['W', 'IH1', 'SH'], ['DH', 'AH0'], ['W', 'IH1', 'CH'], ['W', 'IH1', 'SH', 'IH0', 'Z'], ['AY1'], ['W', 'OW1', 'N', 'T'], ['W', 'IH1', 'SH'], ['DH', 'AH0'], ['W', 'IH1', 'SH'], ['Y', 'UW1'], ['W', 'IH1', 'SH'], ['T', 'UW1'], ['W', 'IH1', 'SH']]","['I000', 'W200', 'T000', 'W200', 'T000', 'W200', 'Y000', 'W200', 'T000', 'W200', 'B300', 'I100', 'Y000', 'W200', 'T000', 'W200', 'T000', 'W320', 'W220', 'I000', 'W530', 'W200', 'T000', 'W200', 'Y000', 'W200', 'T000', 'W200']","{'I000': 2, 'W200': 11, 'T000': 7, 'Y000': 3, 'B300': 1, 'I100': 1, 'W320': 1, 'W220': 1, 'W530': 1}","{'AY1': 2, 'W': 14, 'IH1': 14, 'SH': 12, 'T': 5, 'UW1': 6, 'DH': 4, 'AH0': 4, 'Y': 3, 'B': 1, 'AH1': 1, 'F': 1, 'CH': 1, 'IH0': 1, 'Z': 1, 'OW1': 1, 'N': 1}",1,28,"[1, 4, 2, 4, 3, 4, 3, 4, 2, 5, 3, 2, 3, 4, 3, 4, 3, 5, 7, 1, 5, 4, 3, 4, 3, 4, 2, 5]",1.677295918367347
Stupid superstition!,"[['S', 'T', 'UW1', 'P', 'AH0', 'D'], ['S', 'UW2', 'P', 'ER0', 'S', 'T', 'IH1', 'SH', 'AH0', 'N']]","['S313', 'S162']","{'S313': 1, 'S162': 1}","{'S': 3, 'T': 2, 'UW1': 1, 'P': 2, 'AH0': 2, 'D': 1, 'UW2': 1, 'ER0': 1, 'IH1': 1, 'SH': 1, 'N': 1}",1,2,"[6, 13]",12.25
"There was a fisherman named Fisher who fished for some fish in a fissure. Till a fish with a grin, pulled the fisherman in. Now they're fishing the fissure for Fisher.","[['DH', 'EH1', 'R'], ['W', 'AA1', 'Z'], ['AH0'], ['F', 'IH1', 'SH', 'ER0', 'M', 'AE2', 'N'], ['N', 'EY1', 'M', 'D'], ['F', 'IH1', 'SH', 'ER0'], ['HH', 'UW1'], ['F', 'IH1', 'SH', 'T'], ['F', 'AO1', 'R'], ['S', 'AH1', 'M'], ['F', 'IH1', 'SH'], ['IH0', 'N'], ['AH0'], ['F', 'IH1', 'SH', 'ER0'], ['T', 'IH1', 'L'], ['AH0'], ['F', 'IH1', 'SH'], ['W', 'IH1', 'DH'], ['AH0'], ['G', 'R', 'IH1', 'N'], ['P', 'UH1', 'L', 'D'], ['DH', 'AH0'], ['F', 'IH1', 'SH', 'ER0', 'M', 'AE2', 'N'], ['IH0', 'N'], ['N', 'AW1'], ['TH', 'EH1', 'R'], ['F', 'IH1', 'SH', 'IH0', 'NG'], ['DH', 'AH0'], ['F', 'IH1', 'SH', 'ER0'], ['F', 'AO1', 'R'], ['F', 'IH1', 'SH', 'ER0']]","['T600', 'W200', 'A000', 'F265', 'N530', 'F260', 'W000', 'F230', 'F600', 'S500', 'F200', 'I500', 'A000', 'F260', 'T400', 'A000', 'F200', 'W300', 'A000', 'G650', 'P430', 'T000', 'F265', 'I500', 'N000', 'T600', 'F252', 'T000', 'F260', 'F600', 'F260']","{'T600': 2, 'W200': 1, 'A000': 4, 'F265': 2, 'N530': 1, 'F260': 4, 'W000': 1, 'F230': 1, 'F600': 2, 'S500': 1, 'F200': 2, 'I500': 2, 'T400': 1, 'W300': 1, 'G650': 1, 'P430': 1, 'T000': 2, 'N000': 1, 'F252': 1}","{'DH': 4, 'EH1': 2, 'R': 5, 'W': 2, 'AA1': 1, 'Z': 1, 'AH0': 6, 'F': 12, 'IH1': 13, 'SH': 10, 'ER0': 6, 'M': 4, 'AE2': 2, 'N': 7, 'EY1': 1, 'D': 2, 'HH': 1, 'UW1': 1, 'T': 2, 'AO1': 2, 'S': 1, 'AH1': 1, 'IH0': 3, 'L': 2, 'G': 1, 'P': 1, 'UH1': 1, 'AW1': 1, 'TH': 1, 'NG': 1}",3,31,"[5, 3, 1, 9, 5, 6, 3, 6, 3, 4, 4, 2, 1, 8, 4, 1, 4, 4, 1, 5, 6, 3, 9, 3, 3, 7, 7, 3, 7, 3, 7]",5.146722164412071
World Wide Web,"[['W', 'ER1', 'L', 'D'], ['W', 'AY1', 'D'], ['W', 'EH1', 'B']]","['W643', 'W300', 'W100']","{'W643': 1, 'W300': 1, 'W100': 1}","{'W': 3, 'ER1': 1, 'L': 1, 'D': 2, 'AY1': 1, 'EH1': 1, 'B': 1}",1,3,"[5, 4, 3]",0.6666666666666666
