text,phonemes,soundex
"There was a fisherman named Fisher who fished for some fish in a fissure. Till a fish with a grin, pulled the fisherman in. Now they're fishing the fissure for Fisher.","[['DH', 'EH1', 'R'], ['W', 'AA1', 'Z'], ['AH0'], ['F', 'IH1', 'SH', 'ER0', 'M', 'AE2', 'N'], ['N', 'EY1', 'M', 'D'], ['F', 'IH1', 'SH', 'ER0'], ['HH', 'UW1'], ['F', 'IH1', 'SH', 'T'], ['F', 'AO1', 'R'], ['S', 'AH1', 'M'], ['F', 'IH1', 'SH'], ['IH0', 'N'], ['AH0'], ['F', 'IH1', 'SH', 'ER0'], ['T', 'IH1', 'L'], ['AH0'], ['F', 'IH1', 'SH'], ['W', 'IH1', 'DH'], ['AH0'], ['G', 'R', 'IH1', 'N'], ['P', 'UH1', 'L', 'D'], ['DH', 'AH0'], ['F', 'IH1', 'SH', 'ER0', 'M', 'AE2', 'N'], ['IH0', 'N'], ['N', 'AW1'], ['TH', 'EH1', 'R'], ['F', 'IH1', 'SH', 'IH0', 'NG'], ['DH', 'AH0'], ['F', 'IH1', 'SH', 'ER0'], ['F', 'AO1', 'R'], ['F', 'IH1', 'SH', 'ER0']]","['T600', 'W200', 'A000', 'F265', 'N530', 'F260', 'W000', 'F230', 'F600', 'S500', 'F200', 'I500', 'A000', 'F260', 'T400', 'A000', 'F200', 'W300', 'A000', 'G650', 'P430', 'T000', 'F265', 'I500', 'N000', 'T600', 'F252', 'T000', 'F260', 'F600', 'F260']"
World Wide Web,"[['W', 'ER1', 'L', 'D'], ['W', 'AY1', 'D'], ['W', 'EH1', 'B']]","['W643', 'W300', 'W100']"
"To sit in solemn silence in a dull, dark dock,In a pestilential prison, with a life-long lock,Awaiting the sensation of a short, sharp shock,From a cheap and chippy chopper on a big black block! To sit in solemn silence in a dull, dark dock,In a pestilential prison, with a life-long lock,Awaiting the sensation of a short, sharp shock,From a cheap and chippy chopper on a big black block! A dull, dark dock, a life-long lock,A short, sharp shock, a big black block!To sit in solemn silence in a pestilential prison,And awaiting the sensation From a cheap and chippy chopper on a big black block!","[['T', 'UW1'], ['S', 'IH1', 'T'], ['IH0', 'N'], ['S', 'AA1', 'L', 'AH0', 'M'], ['S', 'AY1', 'L', 'AH0', 'N', 'S'], ['IH0', 'N'], ['AH0'], ['D', 'AH1', 'L'], ['D', 'AA1', 'R', 'K'], ['D', 'AA1', 'K', 'IH0', 'N'], ['AH0'], ['P', 'EH2', 'S', 'T', 'IH0', 'T', 'EH1', 'N', 'SH', 'AH0', 'L'], ['P', 'R', 'IH1', 'Z', 'AH0', 'N'], ['W', 'IH1', 'DH'], ['AH0'], ['L', 'AY1', 'F', 'L', 'AO1', 'NG'], ['L', 'AA1', 'K', 'AH0', 'W', 'EY2', 'T', 'IH0', 'NG'], ['DH', 'AH0'], ['S', 'EH0', 'N', 'S', 'EY1', 'SH', 'AH0', 'N'], ['AH1', 'V'], ['AH0'], ['SH', 'AO1', 'R', 'T'], ['SH', 'AA1', 'R', 'P'], ['SH', 'AA1', 'K', 'F', 'R', 'AH0', 'M'], ['AH0'], ['CH', 'IY1', 'P'], ['AH0', 'N', 'D'], ['CH', 'IH1', 'P', 'IY0'], ['CH', 'AA1', 'P', 'ER0'], ['AA1', 'N'], ['AH0'], ['B', 'IH1', 'G'], ['B', 'L', 'AE1', 'K'], ['B', 'L', 'AA1', 'K'], ['T', 'UW1'], ['S', 'IH1', 'T'], ['IH0', 'N'], ['S', 'AA1', 'L', 'AH0', 'M'], ['S', 'AY1', 'L', 'AH0', 'N', 'S'], ['IH0', 'N'], ['AH0'], ['D', 'AH1', 'L'], ['D', 'AA1', 'R', 'K'], ['D', 'AA1', 'K', 'IH0', 'N'], ['AH0'], ['P', 'EH2', 'S', 'T', 'IH0', 'T', 'EH1', 'N', 'SH', 'AH0', 'L'], ['P', 'R', 'IH1', 'Z', 'AH0', 'N'], ['W', 'IH1', 'DH'], ['AH0'], ['L', 'AY1', 'F', 'L', 'AO1', 'NG'], ['L', 'AA1', 'K', 'AH0', 'W', 'EY2', 'T', 'IH0', 'NG'], ['DH', 'AH0'], ['S', 'EH0', 'N', 'S', 'EY1', 'SH', 'AH0', 'N'], ['AH1', 'V'], ['AH0'], ['SH', 'AO1', 'R', 'T'], ['SH', 'AA1', 'R', 'P'], ['SH', 'AA1', 'K', 'F', 'R', 'AH0', 'M'], ['AH0'], ['CH', 'IY1', 'P'], ['AH0', 'N', 'D'], ['CH', 'IH1', 'P', 'IY0'], ['CH', 'AA1', 'P', 'ER0'], ['AA1', 'N'], ['AH0'], ['B', 'IH1', 'G'], ['B', 'L', 'AE1', 'K'], ['B', 'L', 'AA1', 'K'], ['AH0'], ['D', 'AH1', 'L'], ['D', 'AA1', 'R', 'K'], ['D', 'AA1', 'K'], ['AH0'], ['L', 'AY1', 'F', 'L', 'AO1', 'NG'], ['L', 'AA1', 'K', 'AH0'], ['SH', 'AO1', 'R', 'T'], ['SH', 'AA1', 'R', 'P'], ['SH', 'AA1', 'K'], ['AH0'], ['B', 'IH1', 'G'], ['B', 'L', 'AE1', 'K'], ['B', 'L', 'AA1', 'K', 'T', 'OW0'], ['S', 'IH1', 'T'], ['IH0', 'N'], ['S', 'AA1', 'L', 'AH0', 'M'], ['S', 'AY1', 'L', 'AH0', 'N', 'S'], ['IH0', 'N'], ['AH0'], ['P', 'EH2', 'S', 'T', 'IH0', 'T', 'EH1', 'N', 'SH', 'AH0', 'L'], ['P', 'R', 'IH1', 'Z', 'AH0', 'N', 'AH0', 'N', 'D'], ['AH0', 'W', 'EY1', 'T', 'IH0', 'NG'], ['DH', 'AH0'], ['S', 'EH0', 'N', 'S', 'EY1', 'SH', 'AH0', 'N'], ['F', 'R', 'AH1', 'M'], ['AH0'], ['CH', 'IY1', 'P'], ['AH0', 'N', 'D'], ['CH', 'IH1', 'P', 'IY0'], ['CH', 'AA1', 'P', 'ER0'], ['AA1', 'N'], ['AH0'], ['B', 'IH1', 'G'], ['B', 'L', 'AE1', 'K'], ['B', 'L', 'AA1', 'K']]","['T000', 'S300', 'I500', 'S450', 'S452', 'I500', 'A000', 'D400', 'D620', 'D250', 'A000', 'P234', 'P625', 'W300', 'A000', 'L145', 'L235', 'T000', 'S523', 'O100', 'A000', 'S630', 'S610', 'S216', 'A000', 'C100', 'A530', 'C100', 'C160', 'O500', 'A000', 'B200', 'B420', 'B420', 'T000', 'S300', 'I500', 'S450', 'S452', 'I500', 'A000', 'D400', 'D620', 'D250', 'A000', 'P234', 'P625', 'W300', 'A000', 'L145', 'L235', 'T000', 'S523', 'O100', 'A000', 'S630', 'S610', 'S216', 'A000', 'C100', 'A530', 'C100', 'C160', 'O500', 'A000', 'B200', 'B420', 'B420', 'A000', 'D400', 'D620', 'D200', 'A000', 'L145', 'L200', 'S630', 'S610', 'S200', 'A000', 'B200', 'B420', 'B423', 'S300', 'I500', 'S450', 'S452', 'I500', 'A000', 'P234', 'P625', 'A352', 'T000', 'S523', 'F650', 'A000', 'C100', 'A530', 'C100', 'C160', 'O500', 'A000', 'B200', 'B420', 'B420']"
"Picky people pick Peter Pan Peanut-Butter, 'tis the peanut-butter picky people pick.","[['P', 'IH1', 'K', 'IY0'], ['P', 'IY1', 'P', 'AH0', 'L'], ['P', 'IH1', 'K'], ['P', 'IY1', 'T', 'ER0'], ['P', 'AE1', 'N'], ['P', 'IY2', 'N', 'AH1', 'K', 'AH0', 'T', 'ER0', 'T'], ['T', 'IH1', 'Z'], ['DH', 'AH0'], ['P', 'IY2', 'N', 'AH1', 'K', 'AH0', 'T', 'ER0', 'T'], ['P', 'IH1', 'K', 'IY0'], ['P', 'IY1', 'P', 'AH0', 'L'], ['P', 'IH1', 'K']]","['P200', 'P140', 'P200', 'P360', 'P500', 'P531', 'T200', 'T000', 'P531', 'P200', 'P140', 'P200']"
"If Stu chews shoes, should Stu choose the shoes he chews?","[['IH1', 'F'], ['S', 'T', 'UW1'], ['CH', 'UW1', 'Z'], ['SH', 'UW1', 'Z'], ['SH', 'UH1', 'D'], ['S', 'T', 'UW1'], ['CH', 'UW1', 'Z'], ['DH', 'AH0'], ['SH', 'UW1', 'Z'], ['HH', 'IY1'], ['CH', 'UW1', 'Z']]","['I100', 'S300', 'C200', 'S200', 'S430', 'S300', 'C200', 'T000', 'S200', 'H000', 'C200']"
Luke Luck likes lakes.Luke's duck likes lakes.Luke Luck licks lakes.Luck's duck licks lakes.Duck takes licks in lakes Luke Luck likes.Luke Luck takes licks in lakes duck likes.,"[['L', 'UW1', 'K'], ['L', 'AH1', 'K'], ['L', 'AY1', 'K', 'S'], ['L', 'EY1', 'K', 'S', 'AH0', 'L', 'AH0', 'K', 'S'], ['D', 'AH1', 'K'], ['L', 'AY1', 'K', 'S'], ['L', 'EY1', 'K', 'S', 'AH0', 'L', 'K', 'UW2'], ['L', 'AH1', 'K'], ['L', 'IH1', 'K', 'S'], ['L', 'EY1', 'K', 'S', 'AH0', 'L', 'AH0', 'K', 'S'], ['D', 'AH1', 'K'], ['L', 'IH1', 'K', 'S'], ['L', 'EY1', 'K', 'D', 'S', 'AH2', 'K'], ['T', 'EY1', 'K', 'S'], ['L', 'IH1', 'K', 'S'], ['IH0', 'N'], ['L', 'EY1', 'K', 'S'], ['L', 'UW1', 'K'], ['L', 'AH1', 'K'], ['L', 'AY1', 'K', 'S', 'AH0', 'L', 'UW2', 'K'], ['L', 'AH1', 'K'], ['T', 'EY1', 'K', 'S'], ['L', 'IH1', 'K', 'S'], ['IH0', 'N'], ['L', 'EY1', 'K', 'S'], ['D', 'AH1', 'K'], ['L', 'AY1', 'K', 'S']]","['L200', 'L200', 'L220', 'L224', 'D200', 'L220', 'L224', 'L200', 'L200', 'L224', 'D200', 'L200', 'L223', 'T220', 'L200', 'I500', 'L220', 'L200', 'L200', 'L224', 'L200', 'T220', 'L200', 'I500', 'L220', 'D200', 'L220']"
Seventy seven benevolent elephants,"[['S', 'EH1', 'V', 'AH0', 'N', 'T', 'IY0'], ['S', 'EH1', 'V', 'AH0', 'N'], ['B', 'AH0', 'N', 'EH1', 'V', 'AH0', 'L', 'AH0', 'N', 'T'], ['EH1', 'L', 'AH0', 'F', 'AH0', 'N', 'T', 'S']]","['S153', 'S150', 'B514', 'E415']"
There those thousand thinkers were thinking how did the other three thieves go through.,"[['DH', 'EH1', 'R'], ['DH', 'OW1', 'Z'], ['TH', 'AW1', 'Z', 'AH0', 'N', 'D'], ['TH', 'IH1', 'NG', 'K', 'ER0', 'Z'], ['W', 'ER0'], ['TH', 'IH1', 'NG', 'K', 'IH0', 'NG'], ['HH', 'AW1'], ['D', 'IH1', 'D'], ['DH', 'AH0'], ['AH1', 'DH', 'ER0'], ['TH', 'R', 'IY1'], ['TH', 'IY1', 'V', 'Z'], ['G', 'OW1'], ['TH', 'R', 'UW1']]","['T600', 'T200', 'T253', 'T526', 'W600', 'T525', 'H000', 'D300', 'T000', 'O360', 'T600', 'T120', 'G000', 'T620']"
Santa's Short Suit Shrunk,"[['S', 'AE1', 'N', 'T', 'AH0', 'S'], ['SH', 'AO1', 'R', 'T'], ['S', 'UW1', 'T'], ['SH', 'R', 'AH1', 'NG', 'K']]","['S532', 'S630', 'S300', 'S652']"
I was born on a pirate ship,"[['AY1'], ['W', 'AA1', 'Z'], ['B', 'AO1', 'R', 'N'], ['AA1', 'N'], ['AH0'], ['P', 'AY1', 'R', 'AH0', 'T'], ['SH', 'IH1', 'P']]","['I000', 'W200', 'B650', 'O500', 'A000', 'P630', 'S100']"
"I scream, you scream, we all scream for ice cream!","[['AY1'], ['S', 'K', 'R', 'IY1', 'M'], ['Y', 'UW1'], ['S', 'K', 'R', 'IY1', 'M'], ['W', 'IY1'], ['AO1', 'L'], ['S', 'K', 'R', 'IY1', 'M'], ['F', 'AO1', 'R'], ['AY1', 'S'], ['K', 'R', 'IY1', 'M']]","['I000', 'S265', 'Y000', 'S265', 'W000', 'A400', 'S265', 'F600', 'I200', 'C650']"
Wayne went to Wales to watch walruses.,"[['W', 'EY1', 'N'], ['W', 'EH1', 'N', 'T'], ['T', 'UW1'], ['W', 'EY1', 'L', 'Z'], ['T', 'UW1'], ['W', 'AA1', 'CH'], ['W', 'AA1', 'L', 'R', 'AH0', 'S', 'IH0', 'Z']]","['W500', 'W530', 'T000', 'W420', 'T000', 'W320', 'W462']"
"In 'ertford, 'ereford and 'ampshire, 'urricanes 'ardly Hever 'appen.","[['IH0', 'N'], ['ER1', 'T', 'F', 'ER0', 'D'], ['EH1', 'R', 'AH0', 'F', 'ER0', 'D'], ['AH0', 'N', 'D'], ['AE1', 'M', 'P', 'SH', 'ER0'], ['EH1', 'R', 'AH0', 'K', 'EY2', 'N', 'Z'], ['AA1', 'R', 'D', 'L', 'IY0'], ['HH', 'EH1', 'V', 'ER0'], ['AE1', 'P', 'AH0', 'N']]","['I500', 'E631', 'E616', 'A530', 'A512', 'U625', 'A634', 'H160', 'A150']"
One-one was a race horse. Two-two was one too. One-one won one race. Two-two won one too.,"[['W', 'AH1', 'N', 'IY0', 'OW2', 'N'], ['W', 'AA1', 'Z'], ['AH0'], ['R', 'EY1', 'S'], ['HH', 'AO1', 'R', 'S'], ['T', 'W', 'AA1', 'T', 'W', 'AA2'], ['W', 'AA1', 'Z'], ['W', 'AH1', 'N'], ['T', 'UW1'], ['W', 'AH1', 'N', 'IY0', 'OW2', 'N'], ['W', 'AH1', 'N'], ['W', 'AH1', 'N'], ['R', 'EY1', 'S'], ['T', 'W', 'AA1', 'T', 'W', 'AA2'], ['W', 'AH1', 'N'], ['W', 'AH1', 'N'], ['T', 'UW1']]","['O550', 'W200', 'A000', 'R200', 'H620', 'T300', 'W200', 'O500', 'T000', 'O550', 'W500', 'O500', 'R200', 'T300', 'W500', 'O500', 'T000']"
Eleven benevolent elephants,"[['IH0', 'L', 'EH1', 'V', 'AH0', 'N'], ['B', 'AH0', 'N', 'EH1', 'V', 'AH0', 'L', 'AH0', 'N', 'T'], ['EH1', 'L', 'AH0', 'F', 'AH0', 'N', 'T', 'S']]","['E415', 'B514', 'E415']"
"Celibate celebrant, celibate celebrant, celibate celebrant.","[['S', 'EH1', 'L', 'IH0', 'B', 'AH0', 'T'], ['S', 'EH1', 'L', 'AH0', 'B', 'R', 'AH0', 'N', 'T'], ['S', 'EH1', 'L', 'IH0', 'B', 'AH0', 'T'], ['S', 'EH1', 'L', 'AH0', 'B', 'R', 'AH0', 'N', 'T'], ['S', 'EH1', 'L', 'IH0', 'B', 'AH0', 'T'], ['S', 'EH1', 'L', 'AH0', 'B', 'R', 'AH0', 'N', 'T']]","['C413', 'C416', 'C413', 'C416', 'C413', 'C416']"
Willy's real rear wheel,"[['W', 'IH1', 'L', 'IY0', 'Z'], ['R', 'IY1', 'L'], ['R', 'IH1', 'R'], ['W', 'IY1', 'L']]","['W420', 'R400', 'R600', 'W400']"
